6427,-2908,25992,-1967
6437,2762,14906,-5090
6447,3004,11056,-5834
6457,1346,8304,-6448
6466,-100,8146,-6960
6476,-1452,8998,-8144
6487,-1924,8206,-8997
6496,-1714,7238,-9914
6507,-2244,4946,-10040
6516,-2568,5950,-10228
6527,-3250,4348,-10380
6537,-4138,7094,-10400
6546,-5822,7146,-10414
6557,-6356,7542,-10679
6567,-6154,6606,-10616
6577,-6248,6052,-9987
6587,-8144,6944,-9452
6597,-9346,8336,-8818
6607,-10774,10118,-8611
6616,-11902,9906,-8392
6627,-10988,10630,-8080
6636,-12430,9868,-7571
6646,-13658,10158,-7416
6657,-13898,10048,-7392
6667,-13510,8508,-7180
6677,-12862,7704,-6726
6687,-12644,7222,-6358
6697,-12914,7700,-6020
6707,-12950,7834,-5982
6716,-12660,7378,-6062
6727,-12244,6846,-6086
6737,-12048,6542,-6182
6747,-11778,6114,-6244
6758,-11640,5438,-6288
6767,-10792,3954,-6235
6777,-10604,2660,-5936
6787,-10250,-278,-5548
6796,-10486,-2602,-4673
6807,-11476,-5390,-3897
6817,-12064,-6404,-3044
6826,-13146,-5250,-1758
6837,-12778,-3942,-1090
6846,-10888,-2610,-199
6857,-10192,-2270,788
6866,-10210,-678,1440
6877,-10790,680,2085
6887,-11598,2550,2266
6897,-12792,4356,2052
6907,-10474,4386,1785
6917,-8706,2818,2124
6927,31226,7302,4031
6937,17216,13792,7558
6947,21802,-9886,10621
6957,-1920,5684,14656
6966,-4456,13132,16292
6978,-6262,6672,17303
6988,-32768,32767,15839
6998,-32768,16320,9811
7007,-7298,10362,5765
7018,-9820,16858,1962
7027,-32768,-1946,809
7038,-1546,7050,544
7048,-5390,8060,442
7058,-6240,5822,174
7068,-4486,7252,-50
7078,-4804,6940,-147
7088,-4244,6876,-295
7096,-3916,6974,-251
7106,-4070,6708,-133
7117,-3666,6780,-4
7126,-3882,6892,114
7137,-4284,7112,221
7146,-4394,7082,290
7157,-4502,5882,261
7167,-4676,3540,632
7177,-3190,8546,581
7187,-4078,7292,454
7197,-4152,6602,348
7207,-4154,6770,210
7217,-3936,6964,159
7227,-4404,6868,96
7237,-4456,6882,64
7247,-4360,6664,126
7257,-4292,6830,133
7267,-4104,6916,171
7277,-4184,6914,199
7287,-4154,6910,207
7298,-4306,6852,171
7307,-4546,6814,145
7317,-4758,7896,87
7327,-4324,6526,6
7337,-4180,6696,14
7347,-4218,6970,48
7357,-4296,6934,112
7367,-4352,6770,169
7376,-4142,6900,135
7387,-4228,6922,200
7397,-4236,6874,259
7407,-4380,6786,317
7417,-4426,6832,322
7427,-4428,6734,282
7437,-4408,6678,219
7447,-4500,6814,180
7456,-4422,6756,177
7467,-4574,6726,141
7477,-4570,6536,71
7487,-4382,6754,-30
7497,-4528,6690,-76
7507,-4316,6834,-108
7517,-4390,6718,-91
7527,-4430,6824,-99
7537,-4316,6596,-157
7547,-4460,6708,-61
7557,-4242,6872,-8
7567,-4372,6820,63
7577,-4340,6836,79
7587,-4368,6760,58
7597,-4062,6884,7
7607,-4228,6822,64
7618,-4290,6808,67
7628,-4214,6882,80
7638,-4298,6750,105
7648,-4134,6812,94
7657,-4174,6982,145
7666,-4238,6860,210
7677,-4330,6832,300
7687,-4382,6766,343
7696,-4444,6660,340
7707,-4424,6760,326
7716,-4378,6782,321
7727,-4446,6804,332
7736,-4432,6718,346
7747,-4454,6748,325
7756,-4454,6656,309
7767,-4328,6732,360
7777,-4432,6748,400
7787,-4424,6694,466
7797,-4540,6696,497
7807,-4532,6630,542
7817,-4584,6670,561
7827,-4624,6610,564
7837,-4676,6564,545
7847,-4720,6466,504
7857,-4754,6460,425
7868,-4712,6432,308
7878,-4788,6536,269
7888,-4682,6500,229
7897,-4744,6134,178
7907,-4604,6552,91
7917,-4784,6488,65
7927,-4756,6356,26
7937,-4714,6432,-62
7947,-4744,6494,-93
